Owner,Repository name,Total PRs,Total reviews,Total files,Analysis time,Description,Interactions
atom,atom,78,000000000000000000000000000000000000000000000000000000000000000000000000000000,4265318221212131918101876152412176226736429495119118761059818281381031722722531777513421415775863464415138543312316147162,2.6923076923076925,27587,0116010000500010000006215111020112031120011110532050410000021807000107315003126120
avelino,awesome-go,92,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.010869565217391304,3640,00000000000000002100000000000000000000100002000000400000000020000000000002101102030223000301
awesome-selfhosted,awesome-selfhosted,80,00000000000000000000000000000000000000000000000000000000000000000000000000000000,11112111111111111111111111111111111111111111111111111111111111111111111111111211,0.3875,4124,001010020001100000202114510000011500350430511202003004200032001520160401100520201
awesomedata,awesome-public-datasets,84,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7023809523809523,9155,110000000001021110000100000000110100000000000000000000200000020001000000000000210102
axios,axios,68,00000000000000000000000000000000000000000000000000000000000000000000,18126831211231113117513111132218612126622212111111111211126121621127,13.235294117647058,10975,220612422327516000030460200008600211200213112721002187013101120511121352493
azl397985856,leetcode,86,03400140130001100200000100311001000000000000000000000000000000000010010000000000000000,2211151225222212231223142111131112212214211011411131118411121321123112141461111111621111,0.7790697674418605,2188,01432010000000203500001000011100110100000100000000000200035220002020000100008000010000
base-org,node,79,0002101111212110032113311211121121122112111111114131321114112161211111111112112,2311111111121111122111111112125314111111622111111211161141131551112111141113121,1.1645569620253164,32661,0221011010011000021023200100021010011001001000004010310001000020105000010000051
binary-husky,gpt_academic,62,00000000000000000000000100000000000010000000000000000000000000,113511411141134723158122111112243142111314111718911033532611116317121,3.3870967741935485,14568,11212180308126122013532240011122132120800101111120321911110432001
bitcoin,bitcoin,53,00000000000000000000000000000000000000000000000000000,3511111211111121111111221113123310112130331141131511110,7.188679245283019,11591,050600000000000004201210011222123601111202210912426011
bradtraversy,design-resources-for-developers,55,0000000001000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111,0.0,2684,0000000000000000000000000000000100000000000000000000000
bregman-arie,devops-exercises,80,000210012300000000003000000000000001000000000000010000000000000120402100200000050,11112111111121111111111111411111111111114111111181111211111111111111111111111111,1.4375,4259,11112310001111610011411010011110104000025000020000011022000100050000100010010000
caddyserver,caddy,91,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2114411372131311321154112448111274674345416712113351121111311122321511161411212311311072871911111,0.9120879120879121,26741,2220011113111025024324100111210021133114730119123241315200600111011113112113311211191111328032
chartjs,Chart.js,15,000000000000000,1201111144353131,80.33333333333333,2412,2267110903101070
chrislgarry,Apollo-11,58,0000000000000000000000000000000000000000000000013240001221,11111111112611119013114112616111111151311511232611111112111115111,2.9827586206896552,8232,148441341251431719221517163313100131052201112101512020204000
codecrafters-io,build-your-own-x,70,0030000410000000003020000000010000000000000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111,6.957142857142857,4617,1111110111111111111111111111111111111311111111111110101003111111122201
coder,code-server,65,3841111105110123213002415101601521122102211170441030000102130201042,82811111133111512121111633112162141131312113721118131175111411124111,2.1846153846153844,14613,0010100003001002410108050001442600071002000020230006020600042000003
d2l-ai,d2l-zh,93,0000000000000000000010000000000000000000000000002000000000110000320200000000000005402000000000,103413111111712113111377132113324171711111111121351231113111183116111311011101024119122162112112311,1.3440860215053763,1369,032000100100030000100001201200001200000000011000000000000120010000000000000000020000100010020
